,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Activation Report,,,,,,,,,
,,,,,,,,,
Project,Keeta Arab Cup & QND Activations Q4 2025,,,,,,,,
Project ID,100-P002,,,,,,,,
Client,Keeta Qatar,,,,,,,,
Issue Date,"December 7th, 2025",,,,,,,,
Issued by,Descifer Agency LLC,,,,,,,,
Supervisors,Anjanette Anudon & Jawzeeth Jaufar,,,,,,,,
,,,,,,,,,
1. Overview Summary,,,,,,,,,
From 1st Dec to 6th Dec 2025,,,,,,,,,
,,,,,,,,,
Metric,,,Total,,,,,,
Total Registered Players,,,,,,,,,
Total Games Played,,,,,,,,,
Total Prizes Redeemed,,,,,,,,,
Tier 1 Prizes Redeemed,,,,,,,,,
Tier 2 Prizes Redeemed,,,,,,,,,
AI Photobooth Prints Redeemed,,,,,,,,,
,,,,,,,,,
2. Daily Performance Breakdown,,,,,,,,,
,,,,,,,,,
Date,Total Users,Total Games Played,Total Prizes Redeemed,"Tier 1
Prize Redeemed","Tier 2
Prize Redeemed",AI Photo Prints,Peak Hour(s),Notes,
Day 1,,,,,,,,,
Day 2,,,,,,,,,
Day 3,,,,,,,,,
Day 4,,,,,,,,,
Day 5,,,,,,,,,
Day 6,,,,,,,,,
,,,,,,,,,
3. Game Level Breakdown,,,,,,,,,
,,,,,,,,,
3.1 Total Engagement by Game,,,,,,,,,
Game,Total Plays,Unique Users,,Tier 1 Prizes,Tier 2 Prizes,,,,
Pose Battle,,,,,,,,,
Rider Dash,,,,,,,,,
Reflex Ball Catch,,,,,,,,,
AI Photobooth (non-game),,,,,,,,,
,,,,,,,,,
3.1 Prize Redemption by Game,,,,,,,,,
Game,Tier 1 Prizes,Tier 2 Prizes,% of Total Prizes,,,,,,
Pose Battle,,,,,,,,,
Rider Dash,,,,,,,,,
Reflex Ball Catch,,,,,,,,,
,,,,,,,,,
4. Hourly Traffic Analysis,,,,,,,,,
,,,,,,,,,
Week 1,Hour,# Users,"Notes (crowd trend, weather, mall activity)",,,,,,
Week 1,10AM-12PM,,,,,,,,
,12PM-3PM,,,,,,,,
,3PM-6PM,,,,,,,,
,6PM-9PM,,,,,,,,
,9PM-11PM,,,,,,,,
,,,,,,,,,
5. Operational Notes,,,,,,,,,
,,,,,,,,,
5.1 Incident Log,,,,,,,,,
Date,Time,Issue,,,Action Taken,Status,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5.2 Supervisor Weekly Notes,,,,,,,,,
Week,What Went Well,,,Challenges,,Lessons Learned,,,Recommendations for Next Week
Week 1,,,,,,,,,
Week 2,,,,,,,,,
Week 3,,,,,,,,,
