,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Activation Report,,,,,,,,,
,,,,,,,,,
Project,Keeta Arab Cup & QND Activations Q4 2025,,,,,,,,
Project ID,100-P002,,,,,,,,
Client,Keeta Qatar,,,,,,,,
Issue Date,December 8th, 2025,,,,,,,,
Issued by,Descifer Agency LLC,,,,,,,,
Supervisors,Anjanette Anudon & Jawzeeth Jaufar,,,,,,,,
,,,,,,,,,
1. Overview Summary,,,,,,,,,
From 1st Dec to 7th Dec 2025,,,,,,,,,
,,,,,,,,,
Metric,,,Total,,,,,,
Total Registered Players,,,1052,,,,,,
Total Games Played,,,3824,,,,,,
Total Prizes Redeemed,,,611,,,,,,
Tier 1 Prizes Redeemed,,,360,,,,,,
Tier 2 Prizes Redeemed,,,104,,,,,,
AI Photobooth Prints Redeemed,,,147,,,,,,
,,,,,,,,,
2. Daily Performance Breakdown,,,,,,,,,
,,,,,,,,,
Date,Total Users,Total Games Played,Total Prizes Redeemed,"Tier 1
Prize Redeemed","Tier 2
Prize Redeemed",AI Photo Prints,Peak Hour(s),Notes,
Day 1,131,492,111,41,40,30,22:00-23:00,,
Day 2,170,628,91,58,20,13,21:00-22:00,,
Day 3,148,548,65,39,7,19,21:00-22:00,,
Day 4,170,640,77,55,5,17,23:00-24:00,,
Day 5,242,852,170,113,23,34,22:00-23:00,,
Day 6,171,592,94,52,8,34,20:00-21:00,,
Day 7,20,72,3,2,1,0,0:00-1:00,,
,,,,,,,,,
3. Game Level Breakdown,,,,,,,,,
,,,,,,,,,
3.1 Total Engagement by Game,,,,,,,,,
Game,Total Plays,Unique Users,,Tier 1 Prizes,Tier 2 Prizes,,,,
Pose Battle,956,956,,108,0,,,,
Rider Dash,956,956,,184,53,,,,
Reflex Ball Catch,956,956,,98,62,,,,
AI Photobooth (non-game),956,956,,0,0,,,,
,,,,,,,,,
3.1 Prize Redemption by Game,,,,,,,,,
Game,Tier 1 Prizes,Tier 2 Prizes,% of Total Prizes,,,,,,
Pose Battle,97,0,20.9%,,,,,,
Rider Dash,170,49,47.2%,,,,,,
Reflex Ball Catch,93,55,31.9%,,,,,,
,,,,,,,,,
4. Hourly Traffic Analysis,,,,,,,,,
,,,,,,,,,
Week 1,Hour,# Users,Notes (crowd trend, weather, mall activity),,,,,,
Week 1,10AM-12PM,0,,,,,,,
Week 1,12PM-3PM,0,,,,,,,
Week 1,3PM-6PM,102,,,,,,,
Week 1,6PM-9PM,324,,,,,,,
Week 1,9PM-11PM,284,,,,,,,
,,,,,,,,,
5. Operational Notes,,,,,,,,,
,,,,,,,,,
5.1 Incident Log,,,,,,,,,
Date,Time,Issue,,,Action Taken,Status,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5.2 Supervisor Weekly Notes,,,,,,,,,
Week,What Went Well,,,Challenges,,Lessons Learned,,,Recommendations for Next Week
Week 1,,,,,,,,,
Week 2,,,,,,,,,
Week 3,,,,,,,,,
